Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent
random_forest,Intelligent Kelly,380.0,228.7640426917506,-151.2359573082494,-39.79893613374984
random_forest,Intelligent Kelly,760.0,457.5280853835012,-302.4719146164988,-39.79893613374984
random_forest,Intelligent Kelly,1140.0,686.2921280752516,-453.70787192474836,-39.798936133749855
random_forest,Intelligent Kelly,1520.0,915.0561707670024,-604.9438292329976,-39.79893613374984
random_forest,Intelligent Kelly,1900.0,1143.8202134587527,-756.1797865412473,-39.798936133749855
random_forest,Intelligent Kelly,2280.0,1372.5842561505033,-907.4157438494967,-39.798936133749855
random_forest,Intelligent Kelly,2660.0,1601.3482988422531,-1058.6517011577469,-39.798936133749876
random_forest,Intelligent Kelly,3040.0,1830.1123415340048,-1209.8876584659952,-39.79893613374984
random_forest,Intelligent Kelly,3420.0,2058.876384225755,-1361.123615774245,-39.798936133749855
random_forest,Intelligent Kelly,3800.0,2287.6404269175055,-1512.3595730824945,-39.798936133749855
random_forest,Kelly,380.0,223.0,-157.0,-41.31578947368421
random_forest,Kelly,760.0,446.0,-314.0,-41.31578947368421
random_forest,Kelly,1140.0,669.0,-471.0,-41.31578947368421
random_forest,Kelly,1520.0,892.0,-628.0,-41.31578947368421
random_forest,Kelly,1900.0,1115.0,-785.0,-41.31578947368421
random_forest,Kelly,2280.0,1338.0,-942.0,-41.31578947368421
random_forest,Kelly,2660.0,1561.0,-1099.0,-41.31578947368421
random_forest,Kelly,3040.0,1784.0,-1256.0,-41.31578947368421
random_forest,Kelly,3420.0,2006.9999999999995,-1413.0000000000005,-41.31578947368422
random_forest,Kelly,3800.0,2230.0,-1570.0,-41.31578947368421
xgboost,Flat Prediction,380.0,346.5854303737425,-33.4145696262575,-8.793307796383553
xgboost,Flat Prediction,760.0,693.170860747485,-66.829139252515,-8.793307796383553
xgboost,Flat Prediction,1140.0,1039.7562911212297,-100.24370887877035,-8.793307796383363
xgboost,Flat Prediction,1520.0,1386.34172149497,-133.65827850503,-8.793307796383553
xgboost,Flat Prediction,1900.0,1732.9271518687121,-167.07284813128786,-8.793307796383571
xgboost,Flat Prediction,2280.0,2079.5125822424593,-200.4874177575407,-8.793307796383363
xgboost,Flat Prediction,2660.0,2426.098012616199,-233.90198738380104,-8.793307796383498
xgboost,Flat Prediction,3040.0,2772.68344298994,-267.31655701006,-8.793307796383553
xgboost,Flat Prediction,3420.0,3119.2688733636846,-300.73112663631537,-8.79330779638349
xgboost,Flat Prediction,3800.0,3465.8543037374243,-334.1456962625757,-8.793307796383571
xgboost,Half-Kelly,380.0,318.15637426053325,-61.843625739466745,-16.274638352491248
xgboost,Half-Kelly,760.0,636.3127485210665,-123.68725147893349,-16.274638352491248
xgboost,Half-Kelly,1140.0,954.4691227815999,-185.53087721840006,-16.274638352491234
xgboost,Half-Kelly,1520.0,1272.625497042133,-247.37450295786698,-16.274638352491248
xgboost,Half-Kelly,1900.0,1590.7818713026663,-309.21812869733367,-16.274638352491248
xgboost,Half-Kelly,2280.0,1908.9382455631999,-371.06175443680013,-16.274638352491234
