Component,Feature,AbsoluteLoading,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
PC12,TotalDrawsHome,0.1647025521069941,,,,,,,,,,,,-0.1647025521069941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,HistoricalEncountersHome,0.47656412727341774,,,,,,,,,,,,,0.47656412727341774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,OddsFavourAway,0.36476365983825165,,,,,,,,,,,,,-0.36476365983825165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,OddsFavourHome,0.36321977326069294,,,,,,,,,,,,,0.36321977326069294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,HomeAdvantageIndex,0.2984678344168823,,,,,,,,,,,,,-0.2984678344168823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,HFA,0.29347066572193725,,,,,,,,,,,,,0.29347066572193725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,HomeForm,0.25441524172207625,,,,,,,,,,,,,-0.25441524172207625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,LossStreakHome,0.24049361362589206,,,,,,,,,,,,,-0.24049361362589206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,AwayForm,0.14733452012051532,,,,,,,,,,,,,0.14733452012051532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,TotalDrawsAway,0.14635047385220393,,,,,,,,,,,,,-0.14635047385220393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC13,HomeFifaAttack,0.12440518488526413,,,,,,,,,,,,,-0.12440518488526413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,Bet365HomeWinOdds,0.3369001249738539,,,,,,,,,,,,,,0.3369001249738539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,OddsFavourAway,0.29962212406690936,,,,,,,,,,,,,,-0.29962212406690936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,OddsDifference_HvD,0.295118893999044,,,,,,,,,,,,,,0.295118893999044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,OddsFavourHome,0.29472422885454036,,,,,,,,,,,,,,0.29472422885454036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,OddsDifference_HvA,0.2920794042180124,,,,,,,,,,,,,,0.2920794042180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,OddsDifference_AvD,0.2790628868973001,,,,,,,,,,,,,,-0.2790628868973001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,Bet365AwayWinOdds,0.21079895935141282,,,,,,,,,,,,,,-0.21079895935141282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,HomeFifaAttack,0.18875149781853295,,,,,,,,,,,,,,0.18875149781853295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,AverageGoalsConcededAtHome,0.1884302814340108,,,,,,,,,,,,,,0.1884302814340108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC14,FifaAttackDifference,0.17739150150997826,,,,,,,,,,,,,,0.17739150150997826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC15,LossStreakHome,0.5301696017565788,,,,,,,,,,,,,,,0.5301696017565788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
