Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
18/04/2022,2021,Blackburn,Stoke,0,1,A,0,1,A,G Eltringham,13,7,4,2,13,12,1,3,2,2,0,0,20220418,English Second
18/04/2022,2021,Blackpool,Birmingham,6,1,H,3,0,H,T Robinson,16,11,9,6,7,13,9,7,0,1,0,0,20220418,English Second
18/04/2022,2021,Cardiff,Luton,0,1,A,0,0,D,A Davies,13,10,3,3,12,6,9,4,1,1,0,0,20220418,English Second
18/04/2022,2021,Coventry,Bournemouth,0,3,A,0,2,A,M Donohue,11,5,4,3,15,6,10,3,0,0,0,0,20220418,English Second
18/04/2022,2021,Millwall,Hull,2,1,H,0,0,D,D Whitestone,17,9,8,4,9,12,5,7,2,0,0,0,20220418,English Second
18/04/2022,2021,QPR,Derby,1,0,H,0,0,D,J Smith,14,13,6,2,13,8,6,5,2,0,0,1,20220418,English Second
18/04/2022,2021,Reading,Swansea,4,4,D,1,3,A,K Friend,9,11,6,5,12,12,5,3,2,4,0,0,20220418,English Second
18/04/2022,2021,Bristol City,Sheffield United,1,1,D,0,0,D,K Stroud,7,16,3,5,11,14,2,7,2,4,0,0,20220418,English Second
18/04/2022,2021,Nott'm Forest,West Brom,4,0,H,3,0,H,D Webb,17,1,6,0,10,6,8,0,2,2,0,1,20220418,English Second
19/04/2022,2021,Fulham,Preston,3,0,H,3,0,H,D Doughty,14,8,6,1,13,14,6,5,1,1,0,0,20220419,English Second
