Season,Date,HomeTeam,AwayTeam,ResultEncoded,Bet365HomeWinOddsPercentage,Bet365DrawOddsPercentage,Bet365AwayWinOddsPercentage,OddsFavourHome,OddsFavourDraw,OddsFavourAway,OddsDifference_HvA,OddsDifference_HvD,OddsDifference_AvD
2020,02/01/2021,Crystal Palace,Sheffield United,1,0.48611111111111116,0.2708333333333333,0.24305555555555558,1,0,0,-1.95,-1.55,0.3999999999999999
2020,02/01/2021,Brighton,Wolves,0,0.3624657812024739,0.2922031836155328,0.3453310351819934,1,0,0,-0.1299999999999999,-0.6299999999999999,-0.5
2020,02/01/2021,West Brom,Arsenal,-1,0.1639365659466162,0.2356588135482608,0.600404620505123,0,0,1,4.18,1.75,-2.4299999999999997
2020,03/01/2021,Newcastle,Leicester,-1,0.1814595660749507,0.22682445759368838,0.591715976331361,0,0,1,3.6399999999999997,1.0499999999999998,-2.59
2020,03/01/2021,Chelsea,Man City,-1,0.315015479876161,0.25541795665634676,0.4295665634674923,0,0,1,0.7999999999999998,-0.7000000000000002,-1.5
2020,04/01/2021,Southampton,Liverpool,1,0.1901023416131962,0.21951771548867918,0.5903799428981247,0,0,1,3.3899999999999997,0.6699999999999999,-2.7199999999999998
2020,12/01/2021,Sheffield United,Newcastle,1,0.3875,0.30625,0.30625,1,0,0,-0.6499999999999999,-0.6499999999999999,0.0
2020,12/01/2021,Burnley,Man United,-1,0.13544369486248053,0.21069019200830302,0.6538661131292164,0,0,1,5.55,2.5,-3.05
2020,12/01/2021,Wolves,Everton,-1,0.3875,0.30625,0.30625,1,0,0,-0.6499999999999999,-0.6499999999999999,0.0
2020,13/01/2021,Man City,Brighton,1,0.8296223998047947,0.11126700420911363,0.05911059598609162,1,0,0,-14.86,-7.36,7.5
2020,13/01/2021,Tottenham,Fulham,0,0.6983240223463686,0.18994413407821228,0.11173184357541899,1,0,0,-7.14,-3.6399999999999997,3.5
2020,14/01/2021,Arsenal,Crystal Palace,0,0.6180910495661476,0.23641982645905146,0.1454891239748009,1,0,0,-4.97,-2.4699999999999998,2.5
2020,16/01/2021,Wolves,West Brom,-1,0.5932203389830508,0.2711864406779661,0.13559322033898305,1,0,0,-5.4,-1.9,3.5
2020,16/01/2021,Leeds,Brighton,-1,0.45092838196286467,0.2705570291777188,0.27851458885941643,1,0,0,-1.2999999999999998,-1.4,-0.10000000000000009
2020,16/01/2021,West Ham,Burnley,1,0.5281969817315331,0.27164416203335984,0.20015885623510724,1,0,0,-2.95,-1.7,1.25
2020,16/01/2021,Fulham,Chelsea,-1,0.14631673800405498,0.2196440639783735,0.6340391980175715,0,0,1,5.0,2.17,-2.83
2020,16/01/2021,Leicester,Southampton,1,0.5319148936170214,0.25531914893617025,0.21276595744680854,1,0,0,-2.7,-1.95,0.75
2020,17/01/2021,Sheffield United,Tottenham,-1,0.15213946117274166,0.2535657686212361,0.5942947702060222,0,0,1,4.65,2.5,-2.15
2020,17/01/2021,Liverpool,Man United,0,0.4866595517609391,0.2497331910352187,0.263607257203842,1,0,0,-1.6500000000000001,-1.8499999999999999,-0.19999999999999973
2020,17/01/2021,Man City,Crystal Palace,1,0.8325171400587659,0.11165523996082272,0.05582761998041136,1,0,0,-15.86,-7.36,8.5
2020,18/01/2021,Arsenal,Newcastle,1,0.6728971962616822,0.20934579439252335,0.11775700934579439,1,0,0,-6.6,-3.1,3.5
2020,19/01/2021,West Ham,West Brom,1,0.6026768243366641,0.22528633671632445,0.1720368389470114,1,0,0,-3.9299999999999997,-2.63,1.2999999999999998
2020,19/01/2021,Leicester,Chelsea,1,0.3316148808694441,0.27992197296920723,0.38846314616134875,0,0,1,0.41999999999999993,-0.5299999999999998,-0.9499999999999997
2020,20/01/2021,Man City,Aston Villa,1,0.7755791985681615,0.14557024957740877,0.07885055185442974,1,0,0,-10.78,-5.28,5.5
2020,20/01/2021,Fulham,Man United,-1,0.15854770503220061,0.21969658895916944,0.6217557060086298,0,0,1,4.47,1.67,-2.8
2020,21/01/2021,Liverpool,Burnley,-1,0.8090614886731391,0.12729234088457386,0.06364617044228693,1,0,0,-13.82,-6.32,7.5
2020,23/01/2021,Aston Villa,Newcastle,1,0.6543046357615894,0.1997350993377483,0.14596026490066225,1,0,0,-5.05,-3.3,1.75
2020,26/01/2021,Crystal Palace,West Ham,-1,0.3065732651396048,0.2924237298254692,0.4010030050349261,0,0,1,0.73,-0.1499999999999999,-0.8799999999999999
2020,26/01/2021,Newcastle,Leeds,-1,0.2418716669533804,0.24823671082057458,0.509891622226045,0,0,1,2.05,0.10000000000000009,-1.9499999999999997
2020,26/01/2021,Southampton,Arsenal,-1,0.2717731541152642,0.2642238998342847,0.46400294605045117,0,0,1,1.4500000000000002,-0.10000000000000009,-1.5500000000000003
2020,26/01/2021,West Brom,Man City,-1,0.06364617044228693,0.12729234088457386,0.8090614886731391,0,0,1,13.82,7.5,-6.32
2020,27/01/2021,Burnley,Aston Villa,1,0.24786635191574355,0.2691120392228073,0.483021608861449,0,0,1,1.8499999999999999,0.2999999999999998,-1.55
2020,27/01/2021,Chelsea,Wolves,0,0.5932203389830508,0.22598870056497172,0.18079096045197737,1,0,0,-3.65,-2.6,1.0499999999999998
2020,27/01/2021,Brighton,Fulham,0,0.4652011310772599,0.2804889172671714,0.25430995165556874,1,0,0,-1.7000000000000002,-1.35,0.3500000000000001
