Season,FifaVersion,Date,HomeTeam,AwayTeam,ResultEncoded,HomeFifaOverall,HomeFifaAttack,HomeFifaMidfield,HomeFifaDefence,AwayFifaOverall,AwayFifaAttack,AwayFifaMidfield,AwayFifaDefence,HFA,HomeElo,AwayElo,EloTierHome,EloTierAway
2019,20,07/12/2019,Watford,Crystal Palace,0,78,78,79,76,77,79,77,76,56.2,1628.91638184,1748.04785156,4,3
2019,20,07/12/2019,Man City,Man United,-1,86,86,87,83,82,82,81,80,56.2,2004.70166016,1805.85083008,1,2
2019,20,08/12/2019,Aston Villa,Leicester,-1,75,76,75,73,78,79,77,77,56.2,1644.88891602,1830.1706543,4,2
2019,20,08/12/2019,Newcastle,Southampton,1,77,79,75,76,76,76,77,75,56.2,1716.76538086,1650.11987305,3,4
2019,20,08/12/2019,Norwich,Sheffield United,-1,74,76,73,72,73,73,72,73,56.2,1603.52648926,1665.66320801,4,4
2019,20,08/12/2019,Brighton,Wolves,0,76,77,76,75,78,77,80,77,56.2,1650.84753418,1757.78039551,4,3
2019,20,09/12/2019,West Ham,Arsenal,-1,79,80,79,76,81,86,82,80,56.2,1700.25622559,1805.41467285,3,2
2019,20,14/12/2019,Liverpool,Watford,1,84,86,83,84,78,78,79,76,56.2,2065.80029297,1634.62524414,1,4
2019,20,14/12/2019,Burnley,Newcastle,1,77,77,76,76,77,79,75,76,56.2,1681.72888184,1725.78393555,4,3
2019,20,14/12/2019,Chelsea,Bournemouth,-1,81,80,82,80,77,79,77,76,56.2,1866.9354248,1684.74768066,2,4
2019,20,14/12/2019,Leicester,Norwich,0,78,79,77,77,74,76,73,72,56.2,1842.72680664,1599.66149902,2,4
2019,20,14/12/2019,Sheffield United,Aston Villa,1,73,73,72,73,75,76,75,73,56.2,1677.64453125,1640.44897461,4,4
2019,20,14/12/2019,Southampton,West Ham,-1,76,76,77,75,79,80,79,76,56.2,1649.21765137,1694.65771484,4,4
2019,20,15/12/2019,Man United,Everton,0,82,82,81,80,79,77,79,79,56.2,1830.25720215,1724.22399902,2,3
2019,20,15/12/2019,Wolves,Tottenham,-1,78,77,80,77,83,86,83,82,56.2,1765.2364502,1849.09313965,3,2
2019,20,15/12/2019,Arsenal,Man City,-1,81,86,82,80,86,86,87,83,56.2,1815.04003906,2000.02990723,2,1
2019,20,16/12/2019,Crystal Palace,Brighton,0,77,79,77,76,76,77,76,75,56.2,1750.45532227,1656.16137695,3,4
2019,20,21/12/2019,Everton,Arsenal,0,79,77,79,79,81,86,82,80,56.2,1728.64599609,1806.84753418,3,2
2019,20,21/12/2019,Aston Villa,Southampton,-1,75,76,75,73,76,76,77,75,56.2,1632.5670166,1640.89074707,4,4
2019,20,21/12/2019,Bournemouth,Burnley,-1,77,79,77,76,77,77,76,76,56.2,1698.25817871,1689.36816406,4,4
2019,20,21/12/2019,Brighton,Sheffield United,-1,76,77,76,75,73,73,72,73,56.2,1660.27185059,1685.52648926,4,4
2019,20,21/12/2019,Newcastle,Crystal Palace,1,77,79,75,76,77,79,77,76,56.2,1718.14465332,1746.34484863,3,3
2019,20,21/12/2019,Norwich,Wolves,-1,74,76,73,72,78,77,80,77,56.2,1606.7121582,1757.91967773,4,3
